NUM,SEQ,IR,RED,X,Y,Z
1,27264,121991,91638,-0.2,-0.54,0.81
1,27265,121955,91702,-0.2,-0.54,0.81
1,27266,121955,91645,-0.2,-0.54,0.81
1,27267,121918,91640,-0.2,-0.54,0.81
1,27268,122017,91699,-0.2,-0.54,0.81
1,27269,122082,91661,-0.2,-0.54,0.81
1,27270,122057,91673,-0.2,-0.54,0.81
1,27271,122038,91709,-0.2,-0.54,0.8
1,27272,122167,91720,-0.2,-0.54,0.8
1,27273,122201,91792,-0.2,-0.55,0.81
1,27274,122319,91772,-0.2,-0.54,0.81
1,27275,122385,91766,-0.2,-0.54,0.81
1,27276,122402,91785,-0.2,-0.55,0.81
1,27277,122440,91844,-0.2,-0.55,0.8
1,27278,122543,91811,-0.2,-0.54,0.81
1,27279,122563,91858,-0.2,-0.55,0.81
1,27280,122635,91897,-0.2,-0.54,0.81
1,27281,122794,91905,-0.2,-0.54,0.81
1,27282,122862,91878,-0.21,-0.54,0.78
1,27283,122883,91950,-0.19,-0.55,0.81
1,27284,123027,91836,-0.19,-0.51,0.8
1,27285,122203,91519,-0.18,-0.55,0.84
1,27286,121791,91533,-0.19,-0.55,0.81
1,27287,121851,91517,-0.19,-0.53,0.8
1,27288,121834,91554,-0.19,-0.54,0.81
1,27289,121861,91499,-0.19,-0.54,0.81
1,27290,121781,91539,-0.19,-0.55,0.81
1,27291,121958,91578,-0.19,-0.54,0.81
1,27292,122039,91629,-0.2,-0.54,0.81
1,27293,122085,91584,-0.19,-0.54,0.81
1,27294,122038,91623,-0.19,-0.54,0.81
1,27295,122138,91629,-0.2,-0.54,0.81
1,27296,122215,91669,-0.2,-0.54,0.81
1,27297,122340,91682,-0.2,-0.54,0.81
1,27298,122424,91765,-0.19,-0.55,0.81
1,27299,122570,91729,-0.2,-0.55,0.81
1,27300,122867,91858,-0.19,-0.54,0.81
1,27301,122990,91897,-0.19,-0.54,0.81
1,27302,123131,91943,-0.19,-0.54,0.81
1,27303,123254,91977,-0.2,-0.54,0.81
1,27304,123410,92055,-0.19,-0.54,0.81
1,27305,123428,91927,-0.2,-0.54,0.81
1,27306,122385,91564,-0.19,-0.54,0.8
1,27307,121909,91578,-0.19,-0.54,0.81
1,27308,121971,91639,-0.2,-0.54,0.8
1,27309,122027,91595,-0.2,-0.54,0.81
1,27310,121956,91536,-0.19,-0.54,0.81
1,27311,121907,91608,-0.19,-0.54,0.81
1,27312,122076,91626,-0.2,-0.54,0.81
1,27313,122127,91657,-0.2,-0.54,0.81
1,27314,122173,91696,-0.19,-0.54,0.82
1,27315,122220,91683,-0.19,-0.54,0.81
1,27316,122254,91718,-0.19,-0.54,0.81
1,27317,122394,91737,-0.19,-0.54,0.81
1,27318,122546,91783,-0.19,-0.54,0.81
1,27319,122663,91835,-0.2,-0.54,0.81
1,27320,122730,91876,-0.2,-0.54,0.81
1,27321,122894,91829,-0.2,-0.54,0.81
1,27322,122958,91922,-0.19,-0.54,0.81
1,27323,123115,91991,-0.19,-0.54,0.81
1,27324,123323,92007,-0.19,-0.54,0.81
1,27325,123451,92013,-0.2,-0.53,0.81
1,27326,123547,92082,-0.19,-0.54,0.81
1,27327,123707,92096,-0.19,-0.54,0.81
1,27328,123826,92166,-0.19,-0.54,0.81
1,27329,123953,92117,-0.2,-0.54,0.81
1,27330,123010,91760,-0.2,-0.54,0.81
1,27331,122173,91641,-0.19,-0.54,0.81
1,27332,122124,91635,-0.2,-0.54,0.81
1,27333,122169,91656,-0.19,-0.54,0.81
1,27334,122135,91662,-0.19,-0.54,0.81
1,27335,122080,91691,-0.19,-0.54,0.81
1,27336,122232,91670,-0.19,-0.54,0.81
1,27337,122303,91743,-0.19,-0.54,0.81
1,27338,122368,91730,-0.19,-0.54,0.81
1,27339,122382,91724,-0.19,-0.54,0.81
1,27340,122447,91787,-0.19,-0.54,0.81
