SEQ,IR1,RED1,IR2,RED2,IR3,RED3,IR4,RED4
308,4768,4265,116676,91459,262143,262143,262143,262143
309,4753,4331,116740,91463,262143,262143,262143,262143
310,4739,4313,116789,91508,262143,262143,262143,262143
311,4766,4274,116845,91484,262143,262143,262143,262143
312,4715,4294,116906,91479,262143,262143,262143,262143
313,4721,4313,116995,91520,262143,262143,262143,262143
314,4724,4265,117012,91515,262143,262143,262143,262143
315,4731,4313,116820,91384,262143,262143,262143,262143
316,4738,4279,116494,91350,262143,262143,262143,262143
317,4723,4337,116387,91303,262143,262143,262143,262143
318,4734,4264,116290,91270,262143,262143,262143,262143
319,4728,4305,116258,91264,262143,262143,262143,262143
320,4725,4291,116167,91285,262143,262143,262143,262143
321,4719,4325,116301,91291,262143,262143,262143,262143
322,4740,4284,116250,91319,262143,262143,262143,262143
323,4704,4301,116317,91312,262143,262143,262143,262143
324,4758,4288,116309,91355,262143,262143,262143,262143
325,4733,4311,116363,91377,262143,262143,262143,262143
326,4739,4287,116497,91363,262143,262143,262143,262143
327,4711,4314,116580,91449,262143,262143,262143,262143
328,4738,4293,116614,91459,262143,262143,262143,262143
329,4714,4305,116662,91458,262143,262143,262143,262143
330,4767,4307,116734,91455,262143,262143,262143,262143
331,4739,4303,116823,91496,262143,262143,262143,262143
332,4755,4262,116608,91361,262143,262143,262143,262143
333,4723,4313,116339,91284,262143,262143,262143,262143
334,4744,4259,116188,91285,262143,262143,262143,262143
335,4713,4320,116048,91264,262143,262143,262143,262143
336,4725,4294,116022,91266,262143,262143,262143,262143
337,4698,4291,116032,91270,262143,262143,262143,262143
338,4727,4267,116063,91327,262143,262143,262143,262143
339,4722,4305,116107,91299,262143,262143,262143,262143
340,4735,4299,116111,91315,262143,262143,262143,262143
341,4717,4334,116254,91336,262143,262143,262143,262143
342,4741,4287,116234,91380,262143,262143,262143,262143
343,4765,4292,116370,91365,262143,262143,262143,262143
344,4760,4283,116413,91448,262143,262143,262143,262143
345,4720,4304,116471,91442,262143,262143,262143,262143
346,4733,4313,116534,91478,262143,262143,262143,262143
347,4743,4246,116628,91485,262143,262143,262143,262143
348,4740,4292,116650,91515,262143,262143,262143,262143
349,4713,4324,116684,91437,262143,262143,262143,262143
350,4709,4280,116117,91317,262143,262143,262143,262143
351,4762,4271,116072,91246,262143,262143,262143,262143
352,4691,4310,115978,91293,262143,262143,262143,262143
353,4727,4292,116064,91314,262143,262143,262143,262143
354,4713,4320,116051,91336,262143,262143,262143,262143
355,4720,4274,116121,91333,262143,262143,262143,262143
356,4759,4293,116134,91376,262143,262143,262143,262143
357,4698,4297,116242,91396,262143,262143,262143,262143
358,4732,4324,116284,91423,262143,262143,262143,262143
359,4742,4296,116381,91409,262143,262143,262143,262143
360,4706,4316,116416,91439,262143,262143,262143,262143
361,4716,4330,116510,91480,262143,262143,262143,262143
362,4742,4303,116498,91517,262143,262143,262143,262143
363,4782,4282,116612,91522,262143,262143,262143,262143
364,4738,4326,116689,91544,262143,262143,262143,262143
365,4749,4278,116614,91407,262143,262143,262143,262143
366,4713,4316,116286,91405,262143,262143,262143,262143
367,4739,4260,116164,91316,262143,262143,262143,262143
368,4732,4324,116128,91341,262143,262143,262143,262143
369,4753,4295,116034,91337,262143,262143,262143,262143
370,4689,4288,116008,91351,262143,262143,262143,262143
371,4763,4281,116076,91415,262143,262143,262143,262143
372,4707,4307,116108,91388,262143,262143,262143,262143
373,4728,4299,116127,91359,262143,262143,262143,262143
374,4702,4300,116167,91418,262143,262143,262143,262143
375,4725,4316,116214,91415,262143,262143,262143,262143
376,4696,4314,116263,91485,262143,262143,262143,262143
377,4733,4306,116357,91478,262143,262143,262143,262143
378,4759,4291,116454,91484,262143,262143,262143,262143
379,4767,4293,116444,91519,262143,262143,262143,262143
380,4701,4303,116526,91577,262143,262143,262143,262143
381,4747,4280,116614,91518,262143,262143,262143,262143
382,4733,4304,116595,91496,262143,262143,262143,262143
383,4742,4279,116277,91412,262143,262143,262143,262143
384,4731,4332,116169,91399,262143,262143,262143,262143
385,4749,4289,116079,91383,262143,262143,262143,262143
386,4772,4286,116039,91388,262143,262143,262143,262143
387,4710,4293,116007,91426,262143,262143,262143,262143
388,4719,4331,116125,91439,262143,262143,262143,262143
389,4728,4274,116183,91420,262143,262143,262143,262143
390,4753,4309,116160,91460,262143,262143,262143,262143
391,4729,4296,116211,91506,262143,262143,262143,262143
392,4771,4306,116297,91485,262143,262143,262143,262143
393,4728,4281,116405,91543,262143,262143,262143,262143
394,4722,4261,116451,91552,262143,262143,262143,262143
395,4730,4291,116471,91593,262143,262143,262143,262143
396,4758,4329,116590,91592,262143,262143,262143,262143
397,4734,4283,116672,91590,262143,262143,262143,262143
398,4763,4302,116701,91651,262143,262143,262143,262143
399,4735,4300,116773,91642,262143,262143,262143,262143
400,4734,4304,116345,91517,262143,262143,262143,262143
401,4733,4289,116282,91465,262143,262143,262143,262143
402,4770,4316,116261,91464,262143,262143,262143,262143
403,4750,4286,116221,91507,262143,262143,262143,262143
404,4774,4288,116337,91501,262143,262143,262143,262143
405,4727,4327,116345,91548,262143,262143,262143,262143
406,4743,4288,116386,91513,262143,262143,262143,262143
407,4775,4303,116473,91600,262143,262143,262143,262143
408,4707,4306,116539,91585,262143,262143,262143,262143
409,4745,4341,116525,91630,262143,262143,262143,262143
410,4736,4315,116626,91676,262143,262143,262143,262143
411,4730,4307,116695,91706,262143,262143,262143,262143
412,4730,4280,116748,91642,262143,262143,262143,262143
413,4721,4294,116845,91705,262143,262143,262143,262143
414,4704,4323,116839,91707,262143,262143,262143,262143
415,4730,4294,116976,91723,262143,262143,262143,262143
416,4686,4296,116832,91634,262143,262143,262143,262143
