time,IR,RED,HR,RR,SP02
29.5,227937,216935,60,13.7614678899083,98.2847005010514
29.52,227835,216887,60,13.7614678899083,98.2847005010514
29.54,227833,216916,60,13.7614678899083,98.2847005010514
29.56,227762,216856,60,13.7614678899083,98.2847005010514
29.58,227911,216759,60,13.7614678899083,98.2847005010514
29.6,227838,217010,60,13.7614678899083,98.2847005010514
29.62,227986,216770,60,13.7614678899083,98.2847005010514
29.64,227921,217050,60,13.7614678899083,98.2847005010514
29.66,227963,216800,60,13.7614678899083,98.2847005010514
29.68,228008,217047,60,13.7614678899083,98.2847005010514
29.7,227981,216791,60,13.7614678899083,98.2847005010514
29.72,227988,217053,60,13.7614678899083,98.2847005010514
29.74,228063,216787,60,13.7614678899083,98.2847005010514
29.76,228091,217016,60,13.7614678899083,98.2847005010514
29.78,228124,216885,60,13.7614678899083,98.2847005010514
29.8,228152,216977,60,13.7614678899083,98.2847005010514
29.82,228229,216903,60,13.7614678899083,98.2847005010514
29.84,228244,216954,60,13.7614678899083,98.2847005010514
29.86,228310,216915,60,13.7614678899083,98.2847005010514
29.88,228341,216951,60,13.7614678899083,98.2847005010514
29.9,228361,217019,60,13.7614678899083,98.2847005010514
29.92,228485,216951,60,13.7614678899083,98.2847005010514
29.94,228437,217066,60,13.7614678899083,98.2847005010514
29.96,228550,216964,60,13.7614678899083,98.2847005010514
29.98,228683,217009,60,13.7614678899083,98.2847005010514
30,228622,217164,60,13.7614678899083,98.2847005010514
30.02,228712,216919,60,13.7614678899083,98.2847005010514
30.04,228683,217043,60,13.7614678899083,98.2847005010514
30.06,228774,217200,60,13.7614678899083,98.2847005010514
30.08,228863,217016,60,13.7614678899083,98.2847005010514
30.1,228851,217074,60,13.7614678899083,98.2847005010514
30.12,228949,217240,60,13.7614678899083,98.2847005010514
30.14,229030,217070,60,13.7614678899083,98.2847005010514
30.16,229029,217141,60,13.7614678899083,98.2847005010514
30.18,229117,217258,60,13.7614678899083,98.2847005010514
30.2,229189,217118,60,13.7614678899083,98.2847005010514
30.22,229235,217199,60,13.7614678899083,98.2847005010514
30.24,229283,217379,60,13.7614678899083,98.2847005010514
30.26,229354,217261,60,13.7614678899083,98.2847005010514
30.28,229536,217256,60,13.7614678899083,98.2847005010514
30.3,229459,217424,60,13.7614678899083,98.2847005010514
30.32,229528,217297,60,13.7614678899083,98.2847005010514
30.34,229610,217279,60,13.7614678899083,98.2847005010514
30.36,229382,217426,60,13.7614678899083,98.2847005010514
30.38,229219,217218,60,13.7614678899083,98.2847005010514
30.4,229075,217184,60,13.7614678899083,98.2847005010514
30.42,228968,217247,60,13.7614678899083,98.2847005010514
30.44,228894,217083,60,13.7614678899083,98.2847005010514
