time,IR,RED
24.58,224903,216475
24.6,224759,216462
24.62,224613,216258
24.64,224399,216284
24.66,224361,216425
24.68,224420,216285
24.7,224489,216476
24.72,224571,216252
24.74,224536,216505
24.76,224604,216306
24.78,224600,216532
24.8,224602,216290
24.82,224621,216535
24.84,224832,216327
24.86,224785,216532
24.88,224869,216413
24.9,224881,216502
24.92,225044,216479
24.94,225097,216552
24.96,225176,216534
24.98,225227,216566
25,225348,216636
25.02,225391,216588
25.04,225482,216672
25.06,225530,216644
25.08,225721,216675
25.1,225704,216848
25.12,225782,216679
25.14,225845,216739
25.16,225934,216942
25.18,226020,216834
25.2,226210,216828
25.22,226159,217005
25.24,226253,216911
25.26,226444,216902
25.28,226403,217090
25.3,226523,216917
25.32,226550,216988
25.34,226646,217144
25.36,226717,217047
25.38,226726,217029
25.4,226358,217133
25.42,226052,216852
25.44,225764,216748
25.46,225320,216777
25.48,225024,216481
25.5,224861,216427
25.52,224496,216482
25.54,224315,216303
25.56,224237,216187
25.58,223948,216312
25.6,223961,216138
25.62,223973,216205
25.64,224014,216199
25.66,224109,216241
25.68,224134,216227
25.7,224139,216266
25.72,224134,216257
25.74,224173,216268
25.76,224208,216260
25.78,224300,216296
25.8,224335,216250
25.82,224388,216334
25.84,224422,216371
25.86,224552,216345
25.88,224632,216540
25.9,224678,216399
25.92,224731,216509
25.94,224843,216408
25.96,224885,216490
25.98,224991,216569
26,225007,216485
26.02,225112,216579
26.04,225107,216564
26.06,225236,216610
26.08,225303,216687
26.1,225380,216638
26.12,225515,216690
26.14,225561,216761
26.16,225590,216714
26.18,225699,216752
26.2,225783,216798
26.22,225844,216798
26.24,225941,216787
26.26,225988,216924
26.28,226096,216878
26.3,226176,216923
26.32,226067,216992
26.34,225735,216822
26.36,225476,216742
26.38,225109,216641
26.4,224767,216470
26.42,224523,216367
26.44,224294,216336
26.46,224118,216209
26.48,223919,216106
26.5,223793,216132
26.52,223714,216077
26.54,223779,215911
26.56,223745,216196
26.58,223914,215955
26.6,223908,216226
26.62,224026,216007
26.64,223979,216258
26.66,224095,216027
26.68,224060,216288
26.7,224206,216078
26.72,224159,216324
26.74,224220,216177
26.76,224247,216282
26.78,224417,216248
26.8,224494,216319
26.82,224590,216300
26.84,224636,216339
26.86,224748,216491
26.88,224868,216373
26.9,224921,216541
26.92,225037,216406
26.94,225108,216477
26.96,225203,216657
26.98,225315,216465
27,225352,216568
27.02,225464,216746
27.04,225570,216562
27.06,225628,216635
27.08,225750,216807
27.1,225867,216693
27.12,226065,216746
27.14,225989,216926
27.16,226135,216809
27.18,226351,216805
27.2,226322,217011
27.22,226429,216887
27.24,226518,216918
27.26,226612,217091
27.28,226661,216977
27.3,226725,216952
27.32,226426,217069
27.34,226196,216858
27.36,225980,216738
27.38,225661,216772
27.4,225477,216577
27.42,225392,216491
